,placeID,name,alcohol,smoking_area,price,dress_code,parking_lot
108,135075,Mariscos el pescador,No_alcohol_served,None,Medium,Informal,Yes
109,132660,Carnitas mata calle emilio portes gil,No_alcohol_served,None,Low,Informal,None
110,132921,Crudalia,Wine-beer,Section,Low,Casual,None
111,132594,Tacos de barbacoa enfrente del tec,No_alcohol_served,Not permitted,Low,Informal,Other
112,134986,Restaurant las mananitas,Wine-beer,None,High,Formal,Yes
113,135062,Restaurante el cielo potosino,No_alcohol_served,None,Medium,Informal,Yes
114,132766,Mikasa,Wine-beer,None,Medium,Informal,Yes
115,135088,Cafeteria cenidet,No_alcohol_served,Not permitted,Low,Informal,Other
116,135058,Restaurante tiberius,No_alcohol_served,None,Medium,Informal,Other
117,132754,Cabana huasteca,No_alcohol_served,None,Medium,Informal,None
118,132584,Gorditas dona tota,No_alcohol_served,Not permitted,Medium,Informal,Yes
119,135032,Cafeteria y restaurant el pacifico,Wine-beer,Section,Medium,Informal,Other
120,135028,La virreina,Wine-beer,None,Medium,Informal,None
121,135085,Tortas locas hipocampo,No_alcohol_served,Not permitted,Medium,Informal,Other
122,132663,Tacos abi,No_alcohol_served,None,Low,Informal,None
123,132626,La perica hamburguesa,No_alcohol_served,None,Medium,Informal,Yes
124,132583,Mcdonalds centro,No_alcohol_served,Not permitted,Low,Informal,None
125,132866,Chaires,No_alcohol_served,Not permitted,Medium,Informal,Yes
126,135072,Sushi itto,No_alcohol_served,None,Medium,Informal,None
127,135109,Paniroles,Wine-beer,Not permitted,Medium,Informal,None
128,135019,Restaurant bar coty y pablo,No_alcohol_served,None,Low,Informal,None
129,132877,Sirloin stockade,No_alcohol_served,None,Low,Informal,None
