,placeID,name,alcohol,smoking_area,price,dress_code,parking_lot
108,135075,Mariscos El Pescador,No_Alcohol_Served,none,medium,informal,yes
109,132660,carnitas mata calle Emilio Portes Gil,No_Alcohol_Served,none,low,informal,None
110,132921,crudalia,Wine-Beer,section,low,casual,None
111,132594,tacos de barbacoa enfrente del Tec,No_Alcohol_Served,not permitted,low,informal,other
112,134986,Restaurant Las Mananitas,Wine-Beer,none,high,formal,yes
113,135062,Restaurante El Cielo Potosino,No_Alcohol_Served,none,medium,informal,yes
114,132766,Mikasa,Wine-Beer,none,medium,informal,yes
115,135088,Cafeteria cenidet,No_Alcohol_Served,not permitted,low,informal,other
116,135058,Restaurante Tiberius,No_Alcohol_Served,none,medium,informal,other
117,132754,Cabana Huasteca,No_Alcohol_Served,none,medium,informal,None
118,132584,Gorditas Dona Tota,No_Alcohol_Served,not permitted,medium,informal,yes
119,135032,Cafeteria y Restaurant El Pacifico,Wine-Beer,section,medium,informal,other
120,135028,La Virreina,Wine-Beer,none,medium,informal,None
121,135085,Tortas Locas Hipocampo,No_Alcohol_Served,not permitted,medium,informal,other
122,132663,tacos abi,No_Alcohol_Served,none,low,informal,None
123,132626,la perica hamburguesa,No_Alcohol_Served,none,medium,informal,yes
124,132583,McDonalds Centro,No_Alcohol_Served,not permitted,low,informal,None
125,132866,Chaires,No_Alcohol_Served,not permitted,medium,informal,yes
126,135072,Sushi Itto,No_Alcohol_Served,none,medium,informal,None
127,135109,Paniroles,Wine-Beer,not permitted,medium,informal,None
128,135019,Restaurant Bar Coty y Pablo,No_Alcohol_Served,none,low,informal,None
129,132877,sirloin stockade,No_Alcohol_Served,none,low,informal,None
